Username,Review_date,Star,Title,Review,Date of Experience
Johnna N,Jessica H,JYC-L,SmitMLS1,ToeKneeD
24 Mar,19 Mar,18 Mar,18 Mar,17 Mar
1.0,3.0,3.0,1.0,5.0
Disney shouldn’t charge full price for a partial experience of their park.,Disney needs to step it up.,Bad experience on the excuse of pandemic management,Virtual queue is a disaster!,Galaxy Edge
"Don’t charge us full price when we can’t experience the full park. You have to use the Disney app and the website to schedule certain activities and rides. Some of that you schedule months in advance, or exactly 2 months in advance, or at 7am on the day of your visit. You play","Alot not going on due to covid but prices are still the same. No fast passes makes for long lines. No end of the night show or parade. Universal has everything still happening, of course it looks a little different because of covid but it's still happening. Go to universal…","<UPDATE> For people that suffer the same problem of not being able to reserve a park due to no availability on the app, surprisingly, if you can manage to get into one of the parks, the service desk can help you reserve instantly! For people who tried to book 7am or 1pm virtual…","Our family of 4 were going to be in Orlando a couple of days and were eager to see the new Star Wars expansion at Hollywood Studios. Knowing that things would be different due to the Covid guidelines, I spent some time prior to going to read all I needed to know. Park…","This park has really gotten better since Galaxy Edge, Slinky Dog Dash and Mickey and Minnie's Runaway Railroad have arrived. This is now a must to do park - don't miss it."
Date of experience: March 2021,Date of experience: March 2021,Date of experience: March 2021,Date of experience: February 2021,Date of experience: March 2021
Username,Review_date,Star,Title,Review,Date of Experience
GPV2021,groupleader45212,CJackson2354,Brad H,Cheryl W
16 Mar,16 Mar,15 Mar,14 Mar,13 Mar
2.0,5.0,5.0,1.0,1.0
We were just a cog in the Disney machine,A family favorite,FAVORITE PARK,In the words of Scar...be prepared,Awful
